Model,Accuracy_Mean,F1_Mean,Training_Time
Decision Tree,1.0,1.0,0.09606099128723145
Logistic Regression,0.9962500000000001,0.9936507936507937,5.247278451919556
Random Forest,0.9862500000000001,0.9768339957277246,0.5418870449066162
Support Vector Machine,0.9612499999999999,0.9346936817825433,0.26843738555908203
Naive Bayes,0.8925000000000001,0.8188838151010508,0.05186128616333008
K-Nearest Neighbors,0.8487499999999999,0.7588599830390996,0.3245835304260254
